ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
1832,2033394287038337,20,701,654,636,2000,77,75,4.376448498356889,4.372581121654427,9.453270634010623,9.312882955284355,True,False
1833,94842363356391624,948,9291,9212,8493,2000,95,92,4.420840125993021,4.40889692823355,13.181618168395818,13.052058534626903,True,False
1834,26932500000000000,269,6428,6350,6001,2000,105,103,4.5543082600658185,4.552412410457342,12.650154213675094,12.55098721452152,True,False
1835,44787750000000000,448,2263,2236,2091,2000,64,62,4.29460196335106,4.292115089628289,11.144020869266893,11.029977346589579,True,False
1836,7817017512256241114,78170,20989,20911,17111,2000,129,126,5.548942851070135,5.547419150332831,14.357345812048587,14.062636455734644,True,False
1837,481991778263373383,4820,9336,9260,8134,2000,116,114,4.529932944554122,4.529397429644106,13.188588845707349,12.989749275462133,True,False
1838,3259945879568908810,32599,25037,24952,20320,2000,114,111,4.9728084811464,4.970272152583655,14.611774084614963,14.310612781659529,True,False
1839,5243807225658744,52,1289,1241,1202,2000,80,78,4.348457294794336,4.345937948405293,10.332036548361652,10.231221180711186,True,False
1840,100842008521507796879,1008420,23050,22972,18654,0,0,0,0.0,0.0,14.492479130204062,14.187197402062221,False,True
1841,321053156641183473,3211,5739,5689,5071,2000,87,85,4.423124705572199,4.42173674703092,12.486583659067268,12.308054559066635,True,False
1842,1650496617723361579,16505,8623,8571,7300,2000,98,96,4.584707987869296,4.583772661640703,13.073974164666751,12.833680748654741,True,False
1843,5047350000000000000,50474,27108,27023,21829,2000,121,118,4.741027863329831,4.7377419951536135,14.72643105611424,14.413958420639227,True,False
1844,4953815064500664,50,1374,1324,1287,2000,84,82,4.263724361135397,4.261968920497642,10.4241662888181,10.329796338220701,True,False
1845,1021170076796369137,10212,18756,18676,15664,2000,111,108,4.883026039683328,4.880194489674956,14.19506456372082,13.935165049603695,True,False
1846,54862500000000000,549,2887,2840,2644,2000,83,81,4.623627135627383,4.6219359792660715,11.495355392235982,11.368506461507693,True,False
1847,7976010000000000000,79760,23450,23370,18979,2000,116,113,5.0963512166546,5.094064806143201,14.517300302290101,14.212116358576127,True,False
1848,8477645957318230437,84776,27298,27215,21883,2000,127,124,5.4881228473399295,5.4865470710320965,14.736507634878501,14.417522914226291,True,False
1849,4279910186047747569,42799,16265,16188,13455,2000,123,121,4.879074808787189,4.878713319804134,13.989483201928493,13.71585477052778,True,False
1850,3423994430325000000,34240,8064,8014,6724,2000,87,85,4.5767524881422865,4.575642848574923,12.977279923499916,12.715104009236168,True,False
1851,218382923459569426,2184,12236,12156,10839,2000,117,114,4.640280045526203,4.636522630304256,13.578844391558203,13.403944040153599,True,False
1852,15439338044062800000,154393,33253,33167,26586,2000,137,134,5.693675102797056,5.692351154623349,15.021196882265004,14.698379112207101,True,False
1853,3911328037618297238,39113,25886,25801,20976,2000,113,110,4.837737468270687,4.834796115906279,14.6598844314618,14.356451970221755,True,False
1854,997500000000000000,9975,19987,19902,16707,2000,111,108,4.839708079343732,4.836777246952859,14.286774322871413,14.028165078018167,True,False
1855,1296750000000000000,12968,21727,21642,17969,2000,109,106,4.745627098178784,4.742370060926451,14.40720136474911,14.133222502633023,True,False
1856,53652224630278790303,536522,165,165,161,2000,76,76,5.9770288356500405,5.977028835650041,7.366322214245816,7.330916878114617,True,False
1857,1855673215828643748,18557,13733,13657,11556,2000,115,113,4.6882497359834145,4.687803330675234,13.745359198941893,13.496354488564615,True,False
1858,991120331895729406,9911,17733,17653,14956,2000,125,122,4.925051408692651,4.922315323186559,14.114149005972047,13.868436755858168,True,False
1859,982203344635008112,9822,17598,17518,14862,2000,110,107,4.79218319053888,4.789047180384846,14.103123856478112,13.85934065396752,True,False
1860,977079802396493904,9771,17448,17368,14747,2000,119,116,4.739001438567659,4.735659901329971,14.09077405464075,13.848133874679752,True,False
1861,1003714476856147116,10037,18333,18253,15335,2000,121,118,4.787073424187071,4.783907033100327,14.1621552664082,13.904540546154381,True,False
1862,2984399503561362591,29844,20893,20813,17172,2000,121,118,4.834052702466077,4.831044158392428,14.350732041623,14.067770457447823,True,False
1863,101693337928173243465,1016933,22080,22002,17930,0,0,0,0.0,0.0,14.430452551665532,14.130087867755737,False,True
1864,46131618920617497,461,2541,2506,2337,2000,69,67,4.311860842539764,4.309655327528257,11.311180660053354,11.190442018782825,True,False
1865,2257502049463745765,22575,2023,2021,1756,2000,49,49,4.891731107004264,4.891731107004264,10.982280604558284,10.778077129535358,True,False
1866,1380370757061421,14,1381,1304,1253,2000,104,102,4.395691352365702,4.394150933489988,10.43149760425805,10.29117069932186,True,False
1867,24937500000000000,249,6815,6735,6390,2000,112,109,4.3470838164387935,4.3410873598501665,12.734497941692572,12.641600215834357,True,False
