ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
0,1895250000000000000,18953,1411,1399,1271,2000,94,93,5.211848453484181,5.2018904968578505,10.462502272597265,10.311748315004959,True,False
1,206761800000000000000,2067618,460,458,408,0,0,0,0.0,0.0,8.845490050944376,8.672425341971495,False,True
2,66633000000000000000,666330,623,622,566,2000,91,90,5.888901921762611,5.865063938140702,9.283088353024002,9.144658242831882,True,False
3,28428750000000000000,284288,588,587,528,2000,82,80,5.5452381264925545,5.5318186828901865,9.199672344836364,9.044394119358454,True,False
4,2921484518722565,29,205,191,189,2000,60,60,4.337231118346708,4.3372311183467085,7.679480099505446,7.562242424221073,True,False
5,5099995370371364,51,99,98,97,2000,35,35,4.174134878443693,4.174134878443693,6.6293566200796095,6.599912842187128,True,False
6,79800000000000000,798,626,623,590,2000,80,80,4.4808259017651455,4.4808259017651455,9.290018846932618,9.204571144249204,True,False
7,4488750000000000,45,161,156,151,2000,43,41,4.3335421953457285,4.277317651016082,7.330916878114617,7.2384047393250786,True,False
8,531328320802005012,5313,1215,1213,1127,2000,119,119,4.604142788685281,4.604142788685279,10.246740598493144,10.138271800172221,True,False
9,18438787500000000000,184388,414,414,364,2000,60,57,4.803686726044935,4.776393458543041,8.693486957499326,8.507794640198696,True,False
10,90974891990889138233,909749,942,942,814,2000,113,112,6.097962608914813,6.092931079940958,9.879583249612784,9.668884984266247,True,False
11,1214649093934447632,12146,513,513,467,2000,72,72,4.717355267232683,4.717355267232682,9.002815015607053,8.867278739709661,True,False
12,13479823136765725,135,312,309,299,2000,64,62,4.428411337792049,4.403191007264989,8.285402218862249,8.224001674198105,True,False
13,4964426302788578,50,137,133,130,2000,67,66,4.8773381542638425,4.876524119869212,7.098032082960526,7.022367813028454,True,False
14,879213218679091,9,16,12,12,8,6,6,2.514097655573916,2.514097655573916,4.0,3.584962500721156,False,False
15,5642890854876770,56,3,2,2,0,0,0,0.0,0.0,1.584962500721156,1.0,False,False
16,1909132801834510023,19091,416,415,380,2000,52,50,4.700780474824384,4.6329793192127315,8.700439718141093,8.569855608330949,True,False
17,399000000000000000,3990,50,50,50,2000,43,43,4.719865220053458,4.719865220053458,5.643856189774724,5.643856189774724,True,False
18,3261614896222883,33,200,194,190,2000,63,61,4.311030138992926,4.208163651862278,7.643856189774724,7.569855608330948,True,False
19,523753164546144,5,70,64,62,1652,64,62,4.621067472212456,4.532900388265788,6.129283016944966,5.954196310386875,False,False
20,880194515692593,9,87,68,68,2000,57,57,4.225466662285099,4.225466662285099,6.442943495848728,6.087462841250339,True,False
21,2664054832676145790,26641,1405,1401,1291,2000,87,86,5.248203363408223,5.247787781143647,10.456354415108288,10.33427328530719,True,False
22,1169447072666072542,11694,1213,1193,1098,2000,81,81,5.481771321572691,5.48177132157269,10.24436383512051,10.100662339005199,True,False
23,1081587490595165379,10816,1255,1254,1147,2000,115,115,4.557202677249284,4.557202677249284,10.293471648838134,10.163649676015824,True,False
24,647630123881151,6,1,1,1,0,0,0,0.0,0.0,0.0,0.0,False,False
25,2080117939685815356,20801,424,423,396,2000,51,51,4.9923361775587445,4.992336177558745,8.727920454563199,8.62935662007961,True,False
26,324185619079462523911,3241856,1108,1107,1012,0,0,0,0.0,0.0,10.113742166049189,9.98299357469431,False,True
27,1213106166967773426,12131,1158,1158,1059,2000,77,77,5.518796697708575,5.5187966977085745,10.177419537989236,10.048486873992337,True,False
28,995961751567019448,9960,1150,1146,1076,2000,84,84,5.179694767136675,5.179694767136674,10.167418145831737,10.071462362556623,True,False
29,3512520947380239,35,206,195,194,2000,54,54,4.210637668428592,4.210637668428592,7.6865005271832185,7.599912842187128,True,False
30,2540754864112478,25,185,174,174,2000,56,56,4.2019235436265365,4.2019235436265365,7.531381460516312,7.442943495848728,True,False
31,22323645662088225000,223236,1660,1642,1466,2000,85,85,5.414583688204799,5.414583688204799,10.696967526234287,10.517669388133811,True,False
32,33915000000000000,339,693,691,666,2000,92,92,4.397103519487602,4.397103519487603,9.436711542137214,9.379378367071261,True,False
33,50700474254807862,507,767,741,715,2000,58,58,4.379233765193256,4.3792337651932565,9.583082767502933,9.481799431665753,True,False
34,7691856379967958,77,327,308,300,2000,56,56,4.2974946809172865,4.297494680917287,8.353146825498083,8.228818690495881,True,False
35,99750000000000000,998,43,43,43,428,31,31,4.173795610166896,4.173795610166895,5.426264754702098,5.426264754702098,False,False
36,5323822761289244603,53238,574,574,509,2000,66,66,5.050836247403299,5.0508362474033,9.164906926675688,8.991521846075695,True,False
37,947618404280625000,9476,182,182,173,2000,93,93,4.765747825519109,4.765747825519109,7.507794640198696,7.434628227636725,True,False
38,849397328698627313,8494,176,176,166,2000,85,84,4.849388327291691,4.824218562396961,7.459431618637297,7.3750394313469245,True,False
39,455908751442973196,4559,131,131,127,2000,51,50,4.749927533323912,4.7415739719192045,7.03342300153745,6.9886846867721655,True,False
40,616059330564716725,6161,105,105,102,2000,46,46,4.695644681661323,4.695644681661322,6.714245517666122,6.672425341971495,True,False
41,376684942910489433,3767,228,227,209,2000,64,63,4.675410264552809,4.6741873366754,7.832890014164741,7.7073591320808825,True,False
42,27874893687107994015,278749,434,432,389,2000,55,55,5.211000741156667,5.211000741156666,8.761551232444479,8.603626344986193,True,False
43,527275694482900739,5273,119,117,113,2000,45,45,4.7397514004945585,4.739751400494559,6.894817763307944,6.820178962415188,True,False
44,4373716983523007557,43737,297,297,269,2000,52,51,4.86582330548355,4.815130318372599,8.214319120800766,8.071462362556623,True,False
45,2994407873391555473,29944,653,653,583,2000,68,68,4.992619398392902,4.992619398392903,9.350939181546432,9.187352073200497,True,False
46,31920000000000000,319,45,44,44,100,28,28,3.7327541690067547,3.7327541690067547,5.491853096329675,5.459431618637297,False,False
47,8933024090940602838,89330,715,715,649,2000,72,72,4.842613304860356,4.842613304860355,9.481799431665753,9.342074667999139,True,False
48,4636574827834951882,46366,743,743,678,2000,99,98,5.281083464677138,5.280400685794443,9.537218400538595,9.405141463136344,True,False
49,675623108914613701,6756,89,89,84,2000,53,53,4.815632468170118,4.815632468170119,6.475733430966398,6.392317422778761,True,False
50,2892750000000000000,28928,197,197,182,2000,38,38,4.7422640304543275,4.742264030454328,7.622051819456376,7.507794640198696,True,False
51,1000000000000000000,10000,347,347,321,2000,62,62,4.748969855090895,4.7489698550908965,8.43879185257826,8.326429487122303,True,False
52,885636508010956885,8856,350,349,308,2000,74,73,4.77175363289315,4.767273447816469,8.451211111832329,8.266786540694902,True,False
53,7004149515671228,70,243,241,235,2000,46,45,4.445770097183852,4.445434310180218,7.924812503605781,7.876516946564999,True,False
54,342006116654670535,3420,641,641,609,2000,61,61,5.076187797938415,5.076187797938413,9.324180546618742,9.250298417906333,True,False
55,6876100791754211677,68761,331,331,303,2000,68,67,4.854514329038591,4.850509327223276,8.370687406807217,8.243173983472952,True,False
56,39956572560103592,400,66,65,65,1260,56,56,4.886585314759745,4.886585314759745,6.044394119358453,6.022367813028454,False,False
57,518049391879027147,5180,259,258,241,2000,48,48,4.607076356858508,4.607076356858508,8.016808287686555,7.912889336229962,True,False
58,296364291473974190,2964,322,322,302,2000,70,69,4.598784209398421,4.598388016319362,8.330916878114618,8.238404739325079,True,False
59,3255360100327117,33,231,230,230,2000,117,117,4.430896441113552,4.430896441113553,7.851749041416057,7.845490050944375,True,False
60,428925000000000000,4289,515,515,485,2000,81,80,4.565025853099248,4.543057572989319,9.00842862207058,8.92184093707449,True,False
61,44696621253696216,447,573,573,565,2000,45,44,4.358022108133616,4.344904151410329,9.162391328756906,9.14210705730255,True,False
62,26979452888883187,270,657,657,620,2000,108,93,4.564074778422614,4.5328604110387865,9.35974956032233,9.276124405274238,True,False
63,535313496589898595,5353,1239,1239,1123,2000,100,83,4.398473397600094,4.321859671223926,10.274960472140602,10.133142212400601,True,False
64,2489626440986635835,24896,613,613,561,2000,89,89,4.629568156990494,4.629568156990494,9.259743263690781,9.131856960608793,True,False
65,6267216064892056,63,431,431,398,2000,139,124,4.441640004232339,4.354411019302954,8.751544059089099,8.63662462054365,True,False
66,10977506265664160,110,396,395,390,2000,113,113,4.5098113521542365,4.509811352154236,8.62935662007961,8.60733031374961,True,False
67,90225563909774436,902,708,707,664,2000,120,120,4.461412493682429,4.461412493682429,9.467605550082997,9.375039431346925,True,False
68,115360333810398309790,1153603,1368,1368,1245,0,0,0,0.0,0.0,10.417852514885897,10.281930026955443,False,True
69,279300000000000000,2793,221,221,186,2000,57,56,4.655436955251626,4.655319183493293,7.787902559391432,7.539158811108031,True,False
70,19940025000000000000,199400,773,773,662,2000,90,89,5.361039870615446,5.3607776987111615,9.594324603924848,9.370687406807217,True,False
71,99750000000000000,998,228,228,212,2000,67,66,4.554270087525206,4.554169786622498,7.832890014164741,7.727920454563199,True,False
72,226695972788548905,2267,835,828,758,2000,51,50,4.5232064874999125,4.519761884457132,9.705632387361415,9.566054038171092,True,False
73,2195782279902454,22,207,186,183,2000,82,82,4.43784995338775,4.437849953387751,7.693486957499325,7.515699838284043,True,False
74,97664402901838453026,976644,1729,1713,1547,2000,119,119,6.300672255465777,6.300672255465776,10.755722153642282,10.595257481449035,True,False
75,13752709289088205,138,309,308,308,2000,82,82,4.459230297918332,4.459230297918331,8.271463027904375,8.266786540694902,True,False
76,38874349888138800000,388743,440,440,376,2000,102,101,5.378250810342069,5.370142948234494,8.78135971352466,8.554588851677638,True,False
77,49875000000000000000,498750,440,440,373,2000,86,78,5.953102665375769,5.793209872469295,8.78135971352466,8.543031820255237,True,False
78,49864340080814943968,498643,430,430,364,2000,83,78,5.775956231195474,5.7133384390209265,8.74819284958946,8.507794640198696,True,False
79,100528852075375027268,1005289,459,459,390,0,0,0,0.0,0.0,8.842350343413807,8.60733031374961,False,True
80,9072681704260651628,90727,765,765,666,2000,100,100,5.708568480150044,5.708568480150043,9.579315937580015,9.379378367071261,True,False
81,39561760766865485,396,208,207,203,2000,37,37,4.355410617011191,4.355410617011191,7.700439718141092,7.6653359171851765,True,False
82,1947436495328625000,19474,189,188,179,2000,64,64,4.679458355619662,4.679458355619662,7.562242424221073,7.483815777264256,True,False
83,1595926091091278718,15959,1472,1451,1319,2000,84,83,5.407319229719896,5.402624495510328,10.523561956057012,10.365228849251544,True,False
84,1495228688783849447,14952,1315,1303,1201,2000,68,68,4.997656634332822,4.997656634332822,10.360847084179664,10.230020435705635,True,False
85,7092582256824649345,70926,249,249,220,2000,56,55,4.859525347026535,4.82269553956217,7.960001932068081,7.78135971352466,True,False
86,33049881770906357906,330499,761,761,674,2000,87,87,5.34018418732078,5.340184187320782,9.571752643503546,9.396604781181859,True,False
87,374062500000000000,3741,681,678,637,2000,53,51,4.570741308239235,4.54811142636599,9.411510988012072,9.3151495622563,True,False
88,85269768240486035,853,102,101,97,2000,52,51,4.587940839478395,4.587564478430493,6.672425341971495,6.599912842187128,True,False
89,193714500000000000000,1937145,401,401,356,0,0,0,0.0,0.0,8.64745842645492,8.475733430966399,False,True
90,111041300905514456,1110,38,38,37,33,23,23,4.218751263005905,4.218751263005906,5.247927513443585,5.20945336562895,False,False
91,79880233213585913647,798802,480,478,435,2000,62,62,5.101794261180613,5.101794261180612,8.906890595608518,8.76487159073609,True,False
92,91006921139896732392,910069,863,862,786,2000,63,63,5.229393335754302,5.229393335754303,9.753216749178955,9.618385502258606,True,False
93,944277469081800000,9443,118,118,110,2000,51,51,4.853790117719732,4.853790117719731,6.882643049361842,6.78135971352466,True,False
94,981118010591768500,9811,124,124,117,2000,47,46,4.745790641850254,4.7418776328007395,6.954196310386875,6.870364719583405,True,False
95,1166383022240679287,11664,130,130,127,2000,39,39,4.6676494024775375,4.667649402477538,7.022367813028454,6.9886846867721655,True,False
96,600000000000000,6,68,58,58,2000,56,56,4.527262596049658,4.527262596049658,6.087462841250339,5.857980995127572,True,False
97,2071050667696354739,20711,527,526,482,2000,71,70,4.731102490566819,4.7310273929399065,9.041659151637214,8.912889336229961,True,False
98,8710553118706465,87,297,291,283,2000,70,68,4.25579319223843,4.2002466015405195,8.214319120800766,8.144658242831882,True,False
99,92124112500000000000,921241,998,998,875,2000,85,85,5.304490581001283,5.304490581001283,9.96289600533726,9.77313920671969,True,False
100,1668326299892647427,16683,185,183,169,2000,45,44,4.659972116975824,4.659880441141575,7.531381460516312,7.400879436282184,True,False
101,11521125000000000000,115211,950,950,845,2000,66,66,4.846938700160578,4.846938700160578,9.89178370321831,9.722807531169547,True,False
102,8977500000000000,90,23,23,23,32,19,19,3.7957934987371353,3.7957934987371353,4.523561956057013,4.523561956057013,False,False
103,2234400000000000000,22344,442,441,413,2000,50,50,4.894765901647367,4.894765901647368,8.787902559391432,8.689997971419446,True,False
104,214126677705407444,2141,1014,993,937,2000,77,76,5.077929773932951,5.071853096729373,9.985841937003341,9.871905237659186,True,False
105,23937597370907447,239,547,536,523,2000,58,58,4.343662103119986,4.343662103119985,9.095397022792557,9.030667136246942,True,False
106,3107769423558897243,31078,567,567,495,2000,61,58,4.796572965637362,4.791726887396929,9.147204924942228,8.951284714966972,True,False
107,915753763013683890,9158,157,157,147,2000,87,83,4.858163321852716,4.820837789683341,7.294620748891627,7.199672344836364,True,False
108,2569674954999426909,25697,236,236,223,2000,55,52,4.932311113725795,4.872562625278763,7.882643049361842,7.800899899920305,True,False
109,122143361784279118627,1221434,1378,1378,1249,0,0,0,0.0,0.0,10.428360172704291,10.286557761607957,False,True
110,10997753707500000000,109978,945,945,840,2000,71,71,4.870362364582663,4.870362364582663,9.884170519108435,9.714245517666123,True,False
111,14038815000000000000,140388,740,739,672,2000,69,69,4.796521299566524,4.796521299566525,9.531381460516313,9.39231742277876,True,False
112,29263484824622444194,292635,697,696,617,2000,73,71,4.88087578928299,4.87676737264247,9.445014845868423,9.269126679149418,True,False
113,3910200000000000000,39102,1165,1165,1063,2000,127,115,4.772832391463098,4.747774228094449,10.186114239541643,10.053925881531105,True,False
114,399447155107773241,3994,64,64,64,2000,41,41,4.702725968040267,4.702725968040266,6.0,6.0,True,False
115,19905343171127671,199,424,418,404,2000,43,41,4.295567641835593,4.268274689789232,8.727920454563199,8.658211482751796,True,False
116,114717188250000000,1147,662,662,629,2000,152,146,4.749610104776796,4.740729385577971,9.370687406807217,9.296916206879288,True,False
117,8087671425797622459,80877,658,657,592,2000,60,60,4.664404991043134,4.664404991043135,9.361943773735241,9.20945336562895,True,False
118,156807000000000000000,1568070,1529,1528,1378,0,0,0,0.0,0.0,10.578372691360805,10.428360172704291,False,True
119,74803282208595846167,748033,887,886,765,2000,63,63,4.80753503939146,4.807535039391459,9.792790294301064,9.579315937580015,True,False
120,119731746005468732,1197,414,413,401,2000,41,41,4.455825313933492,4.455825313933492,8.693486957499326,8.64745842645492,True,False
121,4787186491508408,48,288,266,264,2000,53,52,4.238433073272481,4.214476991866933,8.169925001442312,8.044394119358454,True,False
122,236161658101686986,2362,217,216,202,2000,56,56,4.649276275378032,4.649276275378032,7.7615512324444795,7.658211482751795,True,False
123,66281108798260012,663,4,4,4,0,0,0,0.0,0.0,2.0,2.0,False,False
124,597702548782403420,5977,9,9,8,0,0,0,0.0,0.0,3.169925001442312,3.0,False,False
125,187530000000000000,1875,896,894,854,2000,73,73,4.34407196826716,4.34407196826716,9.807354922057604,9.73809225962049,True,False
126,9975000000000000,100,39,39,39,2000,32,32,4.314653280139607,4.314653280139607,5.285402218862249,5.285402218862249,True,False
127,11626624709432452,116,497,475,468,2000,58,57,4.40587180751503,4.390560261333267,8.957102041562287,8.870364719583405,True,False
128,446759515793313652,4468,1092,1090,1007,2000,114,114,4.458386525472664,4.458386525472664,10.092757140919852,9.975847968006784,True,False
129,425258172036275594,4253,286,285,264,2000,67,67,4.697443786759321,4.697443786759321,8.159871336778389,8.044394119358454,True,False
