ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
1880,133281048862501072,133,11294,10713,9723,2000,902,886,4.437082443273505,4.432982709917615,13.46326891598129,13.247185806038997,True,False
1881,1500840717438139314,1501,14922,14353,12129,2000,872,856,4.834748674321764,4.832483982816816,13.865153292938063,13.56617298899285,True,False
1882,39324909362450489,39,3142,2908,2716,2000,383,376,4.392956002700354,4.388169217735926,11.617467465294196,11.407267764244732,True,False
1883,8467925026260000,8,799,690,672,2000,170,167,4.383907841762113,4.376987057934123,9.642051692927977,9.39231742277876,True,False
1884,1136399233382558119,1136,21861,21271,17677,2000,921,904,4.743026935038179,4.740550399524187,14.416071776078178,14.10958583231239,True,False
1885,3554707931851069,4,1818,1316,1292,2000,601,593,5.2342340718101585,5.225029878220143,10.828136484194108,10.335390354693924,True,False
1886,5235541235957490193,5236,26362,25775,20793,2000,921,904,4.789093255059458,4.786754308673719,14.686172206671833,14.343810303829477,True,False
1887,8544704812587950590,8545,23852,23271,18842,2000,918,902,5.447876555024722,5.446705478745761,14.54182262142417,14.201664488711414,True,False
1888,7073116502353459,7,967,825,803,2000,222,218,4.499526057890915,4.491729756381445,9.917372079476841,9.649256177517314,True,False
1889,886673616827379182,887,16849,16268,13847,2000,906,890,4.936297345902961,4.9342136630161235,14.0403753485321,13.7572858248538,True,False
1890,9907708208574480876,9908,19212,18639,15288,2000,902,886,5.415458936854801,5.414223949966587,14.229720093237413,13.900112062977456,True,False
1891,5635875000000000000,5636,13044,12543,10348,2000,606,598,5.068156650299947,5.066691078650351,13.671098725748465,13.33706433868474,True,False
1892,1126305349754321617,1126,8335,7992,6815,2000,487,480,4.690114631540381,4.687958222472345,13.02496648387378,12.734497941692572,True,False
1893,634586466165413533,635,6256,5999,5227,2000,401,394,4.694072225627111,4.691397949598464,12.611024797307353,12.351767443959893,True,False
1894,9974534313517820770,9975,8021,7800,6439,2000,397,390,5.475029788059269,5.473788198443035,12.96956639729051,12.652620934638165,True,False
1895,53817053360389824,54,8251,7672,7167,2000,887,871,4.409077277093113,4.404522650553996,13.010353265549254,12.80715363917749,True,False
1896,2495065670291684712,2495,21995,21411,17614,2000,916,900,4.839578649759156,4.837416990209814,14.424887980797486,14.10443495055075,True,False
1897,298165941499919842125,298166,37095,36504,29080,0,0,0,0.0,0.0,15.178937119998457,14.827739648806956,False,True
1898,12030075187969924,12,2997,2610,2508,2000,496,489,4.4197962972919935,4.4142921215946025,11.549303368513575,11.29232163280204,True,False
1899,12964743773914225,13,2863,2521,2425,2000,477,470,4.384861273533993,4.379932206467993,11.483311954999353,11.243769031961852,True,False
1900,4892996350567130690,4893,23294,22713,18501,2000,910,894,4.839717647490909,4.83750851798836,14.507670777134367,14.175315631699174,True,False
1901,237310835102250000,237,14104,13514,11944,2000,914,897,4.500082664073152,4.496091209655507,13.783816759320182,13.543998450134541,True,False
1902,3489599137500000000,3490,27083,26492,21555,2000,921,904,4.750455439335112,4.747911179622167,14.72509993550082,14.395734942065856,True,False
1903,56041295774675596,56,856,820,773,2000,118,116,4.33504503413519,4.322715583528352,9.741466986401146,9.594324603924848,True,False
1904,6304200000000000000,6304,21297,20717,16930,2000,906,890,5.167904703465103,5.166386607082808,14.378362599204975,14.047294352783004,True,False
1905,723165051734586,1,217,75,75,75,75,75,6.228818690495881,6.228818690495881,7.7615512324444795,6.22881869049588,False,False
1906,9975000000000000000,9975,11966,11483,9420,2000,586,579,5.476542657880106,5.475680943871949,13.546653347654956,13.201511344500146,True,False
1907,20000000000000000,20,6530,5946,5698,2000,908,892,4.393612766035178,4.388599029417259,12.672867276433793,12.476239906323851,True,False
1908,1078615640554975627,1079,22249,21658,18069,2000,922,905,4.696477884524884,4.693846560704131,14.441452873944801,14.141229044304149,True,False
1909,6771709282211420268,6772,12358,11861,9752,2000,598,591,5.275681049238809,5.274646995301591,13.593157658103001,13.251482410620213,True,False
1910,9924812030075187969,9925,12354,11859,9716,2000,597,590,5.412678113997025,5.4117657474565775,13.59269061535341,13.246146774635864,True,False
1911,9266979588105303,9,2638,2149,2084,2000,563,556,4.442540869702989,4.437925552040639,11.365228849251544,11.025139562278508,True,False
1912,28170426065162907268,28170,30261,29674,23679,2000,960,944,6.071563597832289,6.070883910295187,14.885172042953508,14.531320534608202,True,False
1913,30812746630619146,31,7665,7076,6710,2000,909,892,4.442570468221784,4.435553239207681,12.90407007654614,12.712097051087547,True,False
1914,59175242756207810,59,4562,4217,3907,2000,486,479,4.396262340378734,4.3924288041380946,12.155450731312138,11.931845540183673,True,False
1915,18670562737843182073,18671,7805,7603,6244,2000,387,380,5.761874598794289,5.760847937312571,12.930182916865272,12.608254821977908,True,False
1916,24937500000000000,25,6831,6250,5956,2000,899,883,4.4002618789465995,4.394405744609477,12.737881076857779,12.5401280385821,True,False
1917,79800000000000000,80,10296,9705,8985,2000,915,898,4.436434997533574,4.432224589945804,13.329796338220701,13.133302788397303,True,False
1918,1351384038760468272,1351,15426,14853,12564,2000,886,870,4.85381109343438,4.851438338540449,13.913076395554812,13.617008227651965,True,False
1919,2992500000000000000,2993,12782,12279,10247,2000,625,617,4.831435947892309,4.829788466036174,13.641825972041826,13.322913975268015,True,False
1920,997500000000000000,998,16190,15610,13274,2000,898,882,4.895358411730276,4.89316435979379,13.982815365189929,13.69631555889282,True,False
1921,37746446054062551770,37746,14438,13937,11325,2000,616,608,5.479716868260998,5.478788620036452,13.817583288677616,13.46722342982096,True,False
1922,10529388392124486,11,315,293,285,2000,97,95,4.267319250566112,4.2483768270031845,8.29920801838728,8.154818109052105,True,False
1923,9040324803133336,9,878,761,741,2000,183,179,4.370329664538065,4.363169258055656,9.778077129535358,9.533329732305834,True,False
1924,929219089440986025,929,18732,18145,15283,2000,915,898,4.55779268054406,4.554554104793446,14.193217322699065,13.899640146764787,True,False
1925,466369037244127500,466,995,973,884,2000,112,110,4.634641609957047,4.626043326843672,9.958552715431011,9.787902559391432,True,False
1926,1995000000000000000,1995,15682,15113,12735,2000,870,854,4.514187992254015,4.510688922773994,13.93682194449238,13.636511339161556,True,False
1927,80818707062498993064,80819,21542,20966,17060,2000,946,930,6.377505406396699,6.376953209905901,14.39486457818436,14.058330026205653,True,False
1928,129715581341858250,130,10457,9877,9001,2000,887,871,4.393974585422647,4.388850879662848,13.352181396917892,13.135869576648522,True,False
1929,94641700506669830,95,3823,3589,3301,2000,384,377,4.685489579943703,4.680064496681865,11.90048948483465,11.688687423222536,True,False
1930,787277064026250000,787,19044,18454,15630,2000,923,906,4.894644188645574,4.89238603618117,14.217048913556338,13.932030157887027,True,False
1931,23153818788932187,23,6057,5488,5225,2000,864,848,4.55223219231657,4.543833935645799,12.564387696052629,12.351215321855607,True,False
1932,5653834796344358960,5654,21033,20453,16750,2000,901,885,5.010531887727845,5.008715084349053,14.360367020225137,14.031873475119859,True,False
1933,9975000000000000,10,4275,3694,3576,2000,903,887,4.400318292669521,4.394588103262532,12.061708704660623,11.804131021183318,True,False
1934,523257497700000,1,42,15,15,15,15,15,3.906890595608518,3.906890595608518,5.392317422778761,3.9068905956085187,False,False
1935,371369250000000000,371,5922,5636,5001,2000,407,400,4.556155333245339,4.552969954743654,12.531868775177553,12.288000889707574,True,False
1936,3581862567326996105,3582,13095,12592,10476,2000,621,613,4.645972767394216,4.643886037592038,13.676728439237959,13.354800344350597,True,False
1937,1261837500000000000,1262,4958,4801,4112,2000,279,274,4.885038201396195,4.882800571685202,12.275542556086723,12.005624549193879,True,False
1938,100250626566416040,100,5296,4951,4529,2000,483,476,4.5290015329723365,4.5221009376809995,12.370687406807217,12.144976824050111,True,False
1939,595749933355156125000,595750,38361,37770,30106,0,0,0,0.0,0.0,15.227352708775058,14.877763418282559,False,True
1940,1694594806705188106,1695,422,418,389,2000,44,44,4.421662502536863,4.421662502536862,8.721099188707186,8.603626344986193,True,False
1941,10885076420368883883,10885,31725,31134,24980,2000,943,926,5.569874759019044,5.568782589317896,14.953332543615831,14.608485856495319,True,False
1942,2406115288220551378,2406,23107,22520,18441,2000,922,906,4.935521694063125,4.933480469045557,14.49604234528014,14.170629270453558,True,False
1943,500942169335935754,501,16673,16086,13777,2000,914,898,4.557934323288432,4.554849243624628,14.025226093694991,13.749974148845798,True,False
1944,10631896429960062,11,1835,1640,1575,2000,327,320,4.453149402451978,4.446495201881184,10.841564347730575,10.621136113274641,True,False
1945,821440686964385324,821,12424,11862,10253,2000,850,835,4.8396415079448944,4.837528630257348,13.600842114387302,13.323758479706308,True,False
1946,1630210750883764046,1630,11744,11241,9484,2000,610,602,4.401747230400593,4.398269192807211,13.519636252843213,13.211279947482009,True,False
1947,197896177713907707,198,7311,6810,6104,2000,591,583,4.4664061381524265,4.463391116770744,12.835853036444497,12.57553924683453,True,False
1948,734744505719241837,735,15810,15229,13057,2000,898,882,4.75097085859588,4.748495568912301,13.948549747245734,13.672535838279204,True,False
1949,8788168330257242324,8788,16521,15959,13110,2000,863,848,5.348184254614199,5.346957157217287,14.012013393872035,13.678380065109117,True,False
1950,10467482841160142727,10467,16269,15709,12861,2000,861,846,5.598704124473005,5.597691274138143,13.989837955736364,13.650715202538128,True,False
1951,2109099489720625183,2109,243,240,231,2000,38,38,4.461086647987327,4.461086647987326,7.924812503605781,7.851749041416057,True,False
1952,598500000000000000,599,17457,16869,14361,2000,916,899,4.6492467013990595,4.645484257548116,14.091518031472479,13.809868591440923,True,False
1953,110026163508816103,110,11258,10674,9725,2000,909,893,4.625304022557012,4.620412602031261,13.458662932867817,13.247482534760916,True,False
1954,29925000000000000,30,2310,2136,2016,2000,290,284,4.510072633013671,4.5007404789005125,11.17367713630342,10.977279923499916,True,False
1955,3271712189085528,3,622,480,471,2000,222,218,5.217814012769003,5.204811504244533,9.280770770130603,8.879583249612784,True,False
1956,1745899990031925000,1746,23592,23001,19027,2000,915,898,4.436362634738082,4.432152437681216,14.526010107061737,14.21576048838625,True,False
1957,418950000000000000,419,14379,13798,12007,2000,892,876,4.400253010169484,4.394397712422982,13.81167572534012,13.55158811212731,True,False
1958,4034674692554578,4,1781,1319,1294,2000,552,545,5.178424964063093,5.16943248688998,10.798471801101618,10.337621901992508,True,False
1959,61058470400780370,61,1431,1361,1275,2000,146,144,4.390870471053359,4.387267408450145,10.482807956726667,10.31628153174622,True,False
1960,9333121573936902,9,3978,3402,3294,2000,881,865,4.483982739752573,4.477736612927592,11.957827560833744,11.685624839726355,True,False
1961,2989170918468452816,2989,12484,11982,10001,2000,621,613,4.849856510398562,4.848126813780555,13.607792641919211,13.287856641840545,True,False
1962,2591946808659596380,2592,10921,10426,8719,2000,581,574,4.889977997436715,4.888358600411988,13.41481734468885,13.08994696349794,True,False
1963,35765025594448992160,35765,26913,26332,21130,2000,919,903,5.313876204090614,5.312553997431511,14.716015597130799,14.367005146822303,True,False
1964,51354105838474435,51,9174,8585,8038,2000,913,896,4.4084690105635405,4.403790207999624,13.163335192081961,12.972620862058745,True,False
1965,29438880059439043,29,4493,3996,3778,2000,574,567,4.766851760515993,4.759095903531707,12.133463346523438,11.88340698638837,True,False
1966,1995000000000000,2,1205,704,694,2000,587,579,6.539740481966711,6.523660879388835,10.234817431117325,9.43879185257826,True,False
1967,246598067168905500,247,12515,11934,10610,2000,893,877,4.437045305638296,4.432946392270075,13.611370670575694,13.373137035802127,True,False
1968,34912500000000000,35,3125,2888,2703,2000,384,377,4.466640105629209,4.461535279771875,11.609640474436812,11.400345796534694,True,False
1969,788025000000000000,788,13333,12764,11044,2000,874,858,4.789385366032696,4.787052620645423,13.702713811001422,13.430975172588068,True,False
1970,568575000000000000,569,12309,11741,10220,2000,865,849,4.750922396222186,4.748326506393981,13.587425939613691,13.319107575824983,True,False
1971,1845375000000000000,1845,18673,18092,15106,2000,892,876,4.5143639004008875,4.510947740688808,14.188666108796985,13.882834071545622,True,False
1972,3544366695172806,4,2494,1918,1873,2000,880,864,5.511236051673441,5.498105478479297,11.28424574982967,10.871135184243045,True,False
1973,19945012500000000000,19945,20089,19516,15919,2000,919,903,5.88730890577019,5.886475516211856,14.294118130233503,13.958462091036944,True,False
1974,34912500000000000,35,7817,7230,6830,2000,912,895,4.577823472500335,4.572314461054364,12.932399322433792,12.737669863177453,True,False
1975,19580925000000000,20,297,276,269,2000,76,76,4.296261993620562,4.296261993620563,8.214319120800766,8.071462362556623,True,False
1976,28927500000000000,29,2113,1956,1846,2000,260,255,4.721173445270223,4.710414523172272,11.04507705193494,10.850186837645774,True,False
1977,280201171413114738,280,13822,13238,11649,2000,912,896,4.557994636710315,4.554909557046511,13.754678763822529,13.507918492629633,True,False
