ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
1832,2033394287038337,20,701,654,636,2000,77,75,4.376448498356889,4.372581121654427,9.453270634010623,9.312882955284355,True,False
1833,94842363356391624,948,1373,1371,1315,2000,63,63,4.489837373466574,4.4898373734665755,10.4231159101471,10.360847084179664,True,False
1834,26932500000000000,269,2456,2431,2307,2000,92,92,4.346713352810073,4.346713352810073,11.262094845370179,11.171802288682983,True,False
1835,44787750000000000,448,2263,2236,2091,2000,64,62,4.29460196335106,4.292115089628289,11.144020869266893,11.029977346589579,True,False
1836,7817017512256241114,78170,6051,6049,5072,2000,63,62,5.489623183007109,5.457715481060157,12.562957869334118,12.308339030139408,True,False
1837,481991778263373383,4820,5925,5871,5248,2000,144,144,5.411556107790062,5.411556107790063,12.532599438672984,12.357552004618084,True,False
1838,3259945879568908810,32599,1825,1820,1500,2000,80,77,5.16157561201336,5.113571015315128,10.833680748654741,10.550746785383243,True,False
1839,5243807225658744,52,1289,1241,1202,2000,80,78,4.348457294794336,4.345937948405293,10.332036548361652,10.231221180711186,True,False
1840,100842008521507796879,1008420,7495,7493,6273,0,0,0,0.0,0.0,12.871712762835221,12.614939847310735,False,True
1841,321053156641183473,3211,5665,5615,5011,2000,89,87,4.677379548066885,4.676402464005499,12.467860240707878,12.290882822429577,True,False
1842,1650496617723361579,16505,7826,7775,6663,2000,110,108,5.569514821928623,5.5676850513986125,12.934059394900794,12.701956178268137,True,False
1843,5047350000000000000,50474,1804,1800,1510,2000,82,80,5.238338344010871,5.195565915432726,10.81698362325538,10.560332834212442,True,False
1844,4953815064500664,50,1350,1300,1263,2000,81,79,4.34996526036238,4.347940497951303,10.398743691938193,10.302638923787553,True,False
1845,1021170076796369137,10212,2565,2563,2117,2000,58,58,4.478741580352266,4.478741580352266,11.324743110494417,11.047805554007589,True,False
1846,54862500000000000,549,2887,2840,2644,2000,83,81,4.623627135627383,4.6219359792660715,11.495355392235982,11.368506461507693,True,False
1847,7976010000000000000,79760,4125,4123,3308,2000,66,66,4.942257605447104,4.942257605447104,12.010178404020541,11.691743519171276,True,False
1848,8477645957318230437,84776,3255,3252,2628,2000,56,56,4.889893827791803,4.889893827791803,11.668441828052998,11.35974956032233,True,False
1849,4279910186047747569,42799,8183,8156,6936,2000,166,166,5.270653957530038,5.270653957530037,12.998414136589261,12.759888183221834,True,False
1850,3423994430325000000,34240,8064,8014,6724,2000,87,85,4.5767524881422865,4.575642848574923,12.977279923499916,12.715104009236168,True,False
1851,218382923459569426,2184,1380,1378,1233,2000,53,53,4.577149008368637,4.577149008368636,10.430452551665532,10.26795708440284,True,False
1852,15439338044062800000,154393,1904,1903,1637,2000,82,81,4.949487152633896,4.94550252177588,10.894817763307943,10.676838606474153,True,False
1853,3911328037618297238,39113,1573,1569,1312,2000,74,72,4.897392172374279,4.830804890511935,10.619302955415687,10.357552004618084,True,False
1854,997500000000000000,9975,835,833,739,2000,63,60,4.518445031638284,4.399697095837212,9.705632387361415,9.52943055414615,True,False
1855,1296750000000000000,12968,977,975,852,2000,69,66,4.720581528860049,4.615199572026059,9.932214751968385,9.734709620225837,True,False
1856,53652224630278790303,536522,165,165,161,2000,76,76,5.9770288356500405,5.977028835650041,7.366322214245816,7.330916878114617,True,False
1857,1855673215828643748,18557,7377,7348,6353,2000,207,207,5.082572127640004,5.082572127640003,12.848818520317238,12.633222303800789,True,False
1858,991120331895729406,9911,2369,2367,1951,2000,57,57,4.516634776925583,4.516634776925583,11.21006248324023,10.929998062609027,True,False
1859,982203344635008112,9822,2377,2375,1951,2000,55,55,4.51398564394234,4.513985643942339,11.214926187942435,10.929998062609027,True,False
1860,977079802396493904,9771,2369,2367,1938,2000,80,80,4.939478542009345,4.939478542009345,11.21006248324023,10.92035285541508,True,False
1861,1003714476856147116,10037,2642,2640,2182,2000,63,63,4.81025655857421,4.81025655857421,11.367414751246828,11.091435386323607,True,False
1862,2984399503561362591,29844,3391,3389,2765,2000,55,55,4.685759122022271,4.685759122022273,11.72749506902543,11.43306376512207,True,False
1863,101693337928173243465,1016933,8425,8419,7119,0,0,0,0.0,0.0,13.040460970956584,12.797458885915104,False,True
1864,46131618920617497,461,2541,2506,2337,2000,69,67,4.311860842539764,4.309655327528257,11.311180660053354,11.190442018782825,True,False
1865,2257502049463745765,22575,2023,2021,1756,2000,49,49,4.891731107004264,4.891731107004264,10.982280604558284,10.778077129535358,True,False
1866,1380370757061421,14,682,656,621,2000,189,189,4.495036385928321,4.495036385928321,9.413627929024173,9.278449458220482,True,False
1867,24937500000000000,249,375,373,370,2000,49,49,4.443621996655617,4.443621996655617,8.550746785383243,8.531381460516313,True,False
1868,17955000000000000,180,272,270,269,2000,52,52,4.411176744848037,4.411176744848038,8.087462841250339,8.071462362556623,True,False
1869,494485423742537712,4945,6283,6231,5526,2000,84,82,4.3705112821624885,4.368757576592682,12.617237864746105,12.432019846812493,True,False
1870,10599374714784477176,105994,4451,4449,3589,2000,73,73,4.990812429237537,4.990812429237537,12.119913785452269,11.809366207816078,True,False
1871,7482342117165564004,74823,8915,8865,7363,2000,103,101,5.376507774935801,5.375933186316664,13.122019082512358,12.846077986172599,True,False
1872,228723223725101112,2287,5500,5449,4925,2000,92,90,4.916450224061466,4.912874799662763,12.425215903299383,12.2659080092311,True,False
1873,118702500000000000,1187,4314,4288,3949,2000,183,183,4.9156725412883455,4.915672541288346,12.074810461160453,11.947271652460348,True,False
1874,36083870717477395512,360839,2564,2561,2137,2000,69,67,4.89199397081471,4.828870648802939,11.324180546618742,11.061371192659811,True,False
1875,2793000000000000000,27930,4722,4720,4013,2000,40,40,4.708588811216591,4.708588811216591,12.205182326228643,11.970465440779995,True,False
1876,74812500000000000,748,1833,1831,1768,2000,42,42,4.318553195587354,4.318553195587355,10.839991070539886,10.787902559391432,True,False
1877,24937500000000000,249,2466,2440,2313,2000,120,120,4.509419549791104,4.509419549791103,11.26795708440284,11.175549550636191,True,False
1878,13949800130907928176,139498,6280,6252,5163,2000,95,93,5.468761824898425,5.46813448088176,12.61654884377899,12.33399388276136,True,False
