ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
2290,1495080617519306096,1495,144,125,125,2000,40,40,4.633047117278712,4.633047117278712,7.169925001442312,6.965784284662087,True,False
2291,1296393155666283593,1296,128,127,126,2000,49,49,4.943376933706567,4.943376933706567,7.0,6.977279923499917,True,False
2292,997009694004154855,997,89,89,89,2000,31,31,4.441917462165727,4.441917462165728,6.475733430966398,6.475733430966398,True,False
2293,994161654139361812,994,115,114,114,2000,43,43,4.478760640157987,4.478760640157987,6.845490050944375,6.832890014164741,True,False
2294,797153660273630173,797,92,84,83,2000,38,38,4.506543302008982,4.506543302008982,6.523561956057013,6.3750394313469245,True,False
2295,997000000000000000,997,91,89,88,2000,44,44,5.0781379409642975,5.078137940964298,6.507794640198696,6.459431618637297,True,False
2296,1495579649333583350,1496,127,112,112,2000,41,41,4.720167957084461,4.720167957084461,6.9886846867721655,6.807354922057604,True,False
2297,97559864209379996,98,82,55,55,2000,27,27,4.203462463399239,4.203462463399239,6.357552004618084,5.78135971352466,True,False
2298,199500000000000000,200,121,118,116,2000,53,53,4.8436581039072815,4.843658103907281,6.918863237274595,6.857980995127572,True,False
2299,977360929549495354,977,112,108,106,2000,51,51,4.998996880502007,4.998996880502007,6.807354922057604,6.727920454563199,True,False
2300,199459306362477977,199,81,69,68,2000,40,39,4.37095476195476,4.340442299149317,6.339850002884624,6.087462841250339,True,False
2301,438164829058246306,438,83,77,77,2000,35,35,4.787760105517272,4.787760105517272,6.3750394313469245,6.266786540694901,True,False
2302,801508669468313532,802,126,122,119,2000,46,46,4.629193883228538,4.629193883228539,6.977279923499917,6.894817763307944,True,False
2303,3261456008631928355,3261,154,142,139,2000,52,51,5.098379539301992,5.0979715369118646,7.266786540694901,7.118941072723508,True,False
2304,299333895374071894,299,108,88,87,2000,31,31,4.397619028333978,4.397619028333979,6.754887502163468,6.442943495848728,True,False
2305,1694334166358644884,1694,128,122,120,2000,42,42,5.030912567280142,5.030912567280144,7.0,6.906890595608519,True,False
2306,1655158981217313057,1655,139,136,133,2000,57,56,4.843355740953758,4.840738051913572,7.118941072723508,7.05528243550119,True,False
2307,850035653411363,1,1,0,0,0,0,0,0.0,0.0,0.0,0,False,True
2308,9297217144033554117,9297,23,23,23,43,21,21,4.2567738948118246,4.2567738948118246,4.523561956057013,4.523561956057013,False,False
2309,71454149454441754,71,3,3,3,0,0,0,0.0,0.0,1.584962500721156,1.584962500721156,False,False
2310,4700918354634628,5,43,35,35,1351,35,35,4.653093028207987,4.653093028207988,5.426264754702098,5.129283016944966,False,False
2311,4928863624822302669,4929,179,145,141,2000,46,46,4.871947649699483,4.871947649699484,7.483815777264256,7.139551352398794,True,False
2312,189525000000000000,190,69,67,67,2000,33,33,4.424738990503757,4.424738990503757,6.108524456778169,6.066089190457772,True,False
2313,6039168559226041,6,39,33,33,2000,28,28,4.234225742169549,4.234225742169548,5.285402218862249,5.044394119358453,True,False
2314,1286460876496950000,1286,22,22,22,20,21,21,4.048546146245644,4.048546146245644,4.459431618637297,4.459431618637297,False,False
2315,1995000000000000,2,17,13,13,57,13,13,3.5447469717218025,3.5447469717218025,4.087462841250339,3.700439718141092,False,False
