ti,T,T_b,pool_raw,pool_bucketed,pool_addr_n,K_sampled,item_n,addr_n,H_knap_item,H_knap_addr,H_naive_item,H_naive_addr,saturated,skipped
2290,1495080617519306096,150,12620,10066,8360,2000,1889,1817,4.539215079582558,4.529710326529985,13.623424289869911,13.029287226968245,True,False
2291,1296393155666283593,130,11360,9258,7702,2000,1799,1730,4.418353003527824,4.408292255995214,13.471675214392045,12.911017407796985,True,False
2292,997009694004154855,100,10292,8230,6956,2000,1751,1685,4.523261909182364,4.513712825754958,13.3292357417338,12.764042217306587,True,False
2293,994161654139361812,99,10068,8029,6794,2000,1722,1657,4.483794881955982,4.473462232741432,13.29748950116098,12.7300455028792,True,False
2294,797153660273630173,80,8846,6916,5874,2000,1585,1523,4.572778160070063,4.561243388759953,13.110809526898654,12.520127550324851,True,False
2295,997000000000000000,100,8895,7040,5961,2000,1534,1474,4.52470984881927,4.513368513893376,13.118778890154521,12.541338657970826,True,False
2296,1495579649333583350,150,8881,7201,5992,2000,1433,1380,4.576957884624169,4.566142289902025,13.116506417748072,12.54882190845875,True,False
2297,97559864209379996,10,5063,3386,3077,2000,1417,1367,6.120914271527809,6.0913631365112595,12.30577676890981,11.587308728333545,True,False
2298,199500000000000000,20,5391,3951,3526,2000,1272,1227,4.604521965029909,4.589471364631785,12.396337194231098,11.783816759320182,True,False
2299,977360929549495354,98,6878,5547,4722,2000,1211,1166,4.561116211368165,4.548733299670538,12.74777340052679,12.205182326228643,True,False
2300,199459306362477977,20,4770,3521,3143,2000,1143,1101,4.577768603994331,4.562368697819377,12.219773550892874,11.617926556798752,True,False
2301,438164829058246306,44,5389,4180,3635,2000,1087,1045,4.479113250618279,4.46438463116361,12.395801871389747,11.827739648806956,True,False
2302,801508669468313532,80,5560,4448,3810,2000,1028,987,4.561488586152719,4.549942202875167,12.44086916761087,11.895575282380685,True,False
2303,3261456008631928355,326,4517,3841,3183,2000,668,646,4.608253463376804,4.60205719362502,12.141149198437516,11.636171441635922,True,False
2304,299333895374071894,30,2056,1603,1418,2000,460,448,4.659442114506742,4.647138713807393,11.005624549193879,10.469641817239516,True,False
2305,1694334166358644884,169,2182,1885,1617,2000,357,351,4.411378079560038,4.405464421175191,11.091435386323607,10.659103963473662,True,False
2306,1655158981217313057,166,902,778,704,2000,146,144,4.336854021180677,4.332278343765935,9.81698362325538,9.459431618637296,True,False
2307,850035653411363,0,864,0,0,0,0,0,0.0,0.0,9.754887502163468,0,False,True
2308,9297217144033554117,930,30654,27686,21966,2000,2025,1949,5.122200652166557,5.11761473340842,14.903787721120855,14.422984559025702,True,False
2309,71454149454441754,7,10005,7038,6519,2000,2004,1930,4.515304260576675,4.498488682470122,13.288433546793103,12.670434959902439,True,False
2310,4700918354634628,0,2514,0,0,0,0,0,0.0,0.0,11.295768934420508,0,False,True
2311,4928863624822302669,493,11289,9389,7630,2000,1558,1497,4.660329672558878,4.650137028142909,13.462630074789038,12.897467341721892,True,False
2312,189525000000000000,19,3272,2431,2185,2000,792,762,4.54480495685094,4.528227446928825,11.67595703294175,11.093417564387961,True,False
