from_addr,sh_tx,delay_h,sh_amt,un_amt,amt_ratio,self_bc,tok,from_in_ppoi,sh_tx_in_ppoi,any_ppoi_hit,is_forced_candidate,is_candidate_loose
0xc2bc25bb587ad27b18f1e4309c434434eb0544b9,0xe8a95a09267536f102f6bfd3fda996cdc4761b3753ec32f78d093b68f34ce6ab,0.013333333333333334,0.0009975,0.00099500625,0.9975,True,WETH,False,False,False,False,False
0x1548a570b1c765a72f91f0728b2a38394f362282,0x9c14c2a44492df44f7fc4e68ae4014a64efee6552a4eacd69e882f0ae597e602,2.2333333333333334,380.66392058776586,379.7122607862964,0.9974999999999998,True,WETH,True,True,True,True,True
0x1548a570b1c765a72f91f0728b2a38394f362282,0x529e8700f962589f8d3eceb07c4cb8cd62cb415a38082913c896996b4443ebc8,3.703333333333333,49.86215150371508,379.7122607862964,7.615240203945174,True,WETH,True,False,True,False,False
0x58c41b4d9380bc312e74c4523fecfdd9f426f986,0x65733353ca136a3a33bcca77a97dd1ab287223329942c76214d3063cbf6cdf25,1.0733333333333333,0.0291417523465004,0.0278251063281352,0.9548192571706032,False,WETH,False,False,False,False,False
0x33aeccd4c7529938c78004a3fe73fa7d93d789dd,0x2b431afc55cf3d4b7820068531e33cdb123289eee9e6eff1de599b0d0ea7aeaa,10.163333333333334,0.798,0.49875,0.625,True,WETH,False,False,False,False,False
0x33aeccd4c7529938c78004a3fe73fa7d93d789dd,0x2b431afc55cf3d4b7820068531e33cdb123289eee9e6eff1de599b0d0ea7aeaa,34.79,0.798,0.289275,0.3625,True,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0x8a2c142ee172f6e97cdff7c06f5e7d041e98abd00745f8d1f21821df8e7d727d,47.07333333333333,0.9196465347759132,0.9163195192155036,0.9963822888092323,False,WETH,False,False,False,False,False
0x45ae924808b3250e9c9573da5ec65a400e3d789e,0x98f35e2b1c541307ba932de8cbbcd219ebd07dde326d16d0e4ed2d2986248b59,17.633333333333333,0.0961679513993651,0.01995,0.207449568278229,True,WETH,False,False,False,False,False
0xe62d534ebae8a22453fbe8d25addfb49381dcf0f,0xb581f55f841575277f80b6503f7262b43d9281eaff429c9f55ceab2eb72d3ef4,92.90333333333334,0.8886825323810724,0.9163195192155036,1.0310988298153927,False,WETH,False,False,False,False,False
0x1042e8c7e0b38ee2da0e7f32e774c82a5e3f271c,0xd2998a8d915d00492d176a05ad3402a655a83600dd01118587e661203af10e80,2.39,1.0025062656641603,0.9975,0.9950062500000001,True,WETH,True,True,True,False,False
0x1042e8c7e0b38ee2da0e7f32e774c82a5e3f271c,0x969aa0a25cecda83044122d6839997877e291bf11b12783894331e253ff4d308,3.5033333333333334,1.0,0.9975,0.9975,True,WETH,True,True,True,False,True
0x593018f9c8a5edc46bbc60ce3a3a8e46f873bf62,0xf7c3b5c5a4c15b772ce79999129e8b0603d8353b651c675df25e8c089ed6bff9,51.54666666666667,0.0434776093716961,0.042,0.966014475196559,True,WETH,False,False,False,False,False
0xdd383cafe526d518583efe01f12fbcd8e1d0e8d2,0x607a2b61074e99b632dab735b68569303e9d70951398087da6542938524ab351,21.126666666666665,0.0399,0.009975,0.25,True,WETH,False,False,False,False,False
